Regulator	Target	MI	pvalue
RORA	GDI1	0.3818168356568382	0.010898789878996062
HSF2	C9orf103	0.40982105464670965	1.205170051887805E-5
XBP1	ZBTB5	0.2967196932324563	7.131887080902288E-9
TFAP2C	TUBB2C	0.3064997768475645	0.010898789878996062
SREBF1	STAM2	0.29135606072915393	0.0
RORA	ST6GAL1	0.27461706521121554	7.030614284353476E-5
TEAD1	EEF1B2	0.2650703482630131	1.987589006713364E-6
RXRA	UBE2V2	0.2849545123971253	1.205170051887805E-5
IRF1	SLC25A28	0.28034690861571415	3.940167240132908E-4
CEBPD	CCDC85B	0.48506717977548164	0.0
TFDP2	C5orf4	0.4913292303171703	0.0
POU6F1	LOC100507321	0.25101638210634225	0.010898789878996062
CEBPG	FBP1	0.2729930342475614	3.158407135828156E-7
GTF2A2	FAM103A1	0.28579016911663	0.0
FOXJ1	IFI30	0.39269166348897244	1.987589006713364E-6
IRF7	EHD1	0.4365401620683082	7.030614284353476E-5
GTF3A	DNAJC4	0.3274827848709937	7.131887080902288E-9
EGR3	TPM3	0.6197914378075259	1.0188410115574698E-9
PRRX2	LRRC49	0.30458780328767604	3.940167240132908E-4
YY1	FAM173A	0.36966670947646457	0.0
YY1	FAM176B	0.31491282873175186	3.940167240132908E-4
TCF4	DLAT	0.3708337276714102	0.0
TFAP2C	EIF4A3	0.26636471376147003	0.0021178727916457696
SRF	BIN3	0.33981170475975075	0.0
DBP	C17orf59	0.37482786222567094	7.030614284353476E-5
DBP	C17orf70	0.35965064287603227	3.940167240132908E-4
ELF2	GZF1	0.26468140852622307	3.940167240132908E-4
PPARA	SDF2	0.3392575169781241	3.940167240132908E-4
TCF4	DLG5	0.35084809591563193	3.158407135828156E-7
ELF1	GOLGA4	0.4813340238400725	7.131887080902288E-9
GTF3A	LYRM4	0.32761647420992673	0.0
PPARA	IGF1R	0.3567569597360496	0.0
NFIL3	MAPRE1	0.5205895135418541	1.987589006713364E-6
SMAD1	UBXN2A	0.27464806531914254	0.0
TFDP1	PLAC2	0.2791809635586484	4.8394948048979813E-8
TFAP2C	TUBA4B	0.30204947992818304	4.8394948048979813E-8
ELF2	GYS1	0.3506864211280304	0.0
MYC	DYNC1LI1	0.2980259977171175	3.158407135828156E-7
DBP	NRD1	0.3176964728827377	0.0
HLF	TMEM237	0.42491621036180366	0.0
YY1	CCDC85B	0.3208353369537203	0.010898789878996062
CDC5L	D2HGDH	0.37698493171104847	1.205170051887805E-5
FOXM1	OXA1L	0.29897830295121636	0.0
MYB	DIXDC1	0.7385146336929166	0.0
HLF	TMEM201	0.40986281338258923	0.0
TCF4	PSMB6	0.3651390528733925	0.0021178727916457696
ZFP161	EDIL3	0.34078671613047984	0.0
ATF2	KIF3A	0.3232038630251615	7.030614284353476E-5
ATF2	KIF27	0.32185869658885413	0.0
TEF	GNAI3	0.47583205787320415	7.030614284353476E-5
CREB1	CNOT2	0.49471316949077293	0.0
E4F1	FAM158A	0.34084343784607507	0.010898789878996062
PCBP1	C5orf42	0.4762609373047028	7.131887080902288E-9
ATF2	KIF1B	0.31643883862976324	7.131887080902288E-9
TBP	C9orf140	0.29662564151817705	0.0
ESRRA	KIAA1715	0.35067771282951166	0.0
PRRX2	TMEM234	0.26781735631636977	3.158407135828156E-7
FOXC1	FBXO16	0.2883002900678088	0.010898789878996062
MYB	PRDM1	0.39610995541197547	0.0
GTF2A1	WDR7	0.4001894123904871	0.010898789878996062
PPARA	IGBP1	0.323970243289633	0.0
PRRX2	TMEM168	0.32273433520998873	0.010898789878996062
POU6F1	UNKL	0.2820458402993976	1.0188410115574698E-9
RXRA	TOP2B	0.268563609160288	0.0021178727916457696
RELA	KCNK1	0.3473979011050705	1.205170051887805E-5
RELA	KCNK6	0.41388793475956853	1.0188410115574698E-9
YY1	ANKRD9	0.3877557014068078	0.0
EGR1	NLRP1	0.4859315747342368	7.030614284353476E-5
FOXM1	RAN	0.2938091820069647	0.0
NR2F2	PPT1	0.40867938395866843	1.205170051887805E-5
XBP1	ACOT7	0.27202011170009777	0.010898789878996062
TCF3	SCAMP2	0.2537698121657435	7.030614284353476E-5
TCF3	SCAMP3	0.32084674544848407	1.698068352595783E-10
MYB	PRDX3	0.3702547953699688	0.0
GTF2A2	MLXIP	0.32639848449450265	0.0
MEF2A	IMPDH1	0.32792037689643844	1.0188410115574698E-9
ATF1	ARV1	0.3438929043944842	0.0
HSF2	DNAJB1	0.36786042003236763	0.0
HSF2	DNAJB4	0.34395954975049636	7.030614284353476E-5
PCBP1	OXSR1	0.4254223063835992	1.0188410115574698E-9
IRF7	LSR	0.3616217509400833	0.0
ATF4	SMYD4	0.27067765074202577	0.010898789878996062
STAT1	ACSL5	0.3136273188319083	0.0
FOXJ1	DTHD1	1.0036859135180252	0.0
HSF1	EPN1	0.5164031348356897	1.205170051887805E-5
PRRX2	TMEM102	0.3376663672732678	1.987589006713364E-6
GTF2A2	TSG101	0.35351815615911447	0.0
PRRX2	TMEM147	0.2816279200344916	1.205170051887805E-5
CEBPD	CRLS1	0.2831164070084054	0.010898789878996062
NR2F2	POMP	0.32433827164475687	0.0021178727916457696
HLF	TMEM45B	0.34084951003880337	3.940167240132908E-4
EGR1	MAP3K3	0.46158405624457793	0.0
NR2F2	POLB	0.3830643406720239	0.0
STAT3	ZCWPW1	0.36268365279856324	3.940167240132908E-4
NFE2L1	CYP3A5	0.2821611005829318	0.0
SREBF1	STIM1	0.2729172636483064	1.698068352595783E-10
PBX1	SNTB1	0.4088403142317845	4.8394948048979813E-8
CDC5L	ERBB2IP	0.49969390287299364	0.0021178727916457696
YY1	TIGD5	0.33788960712428345	0.010898789878996062
STAT3	DIAPH1	0.48514100835774904	0.0
HMGA1	GIGYF2	0.3564695893890473	1.0188410115574698E-9
ATF4	FAM86C1	0.2871441266247987	1.0188410115574698E-9
PBX1	SNX11	0.43852896767259836	0.0
RUNX1	CDC26	0.347260029398214	0.0
ATF4	FAM86DP	0.26054945103452154	3.940167240132908E-4
HMGA1	IDH3G	0.3452836093895348	0.0
NR2F2	PRKX	0.3167353340128131	3.940167240132908E-4
SF1	DERA	0.35105219411139077	0.0
POU6F1	ULK1	0.24266553776041724	7.030614284353476E-5
POU6F1	ULK3	0.28971947313883656	1.698068352595783E-10
PBX1	GLRX	0.49895285714331983	0.0
IRF7	ICK	0.32161996757442335	3.940167240132908E-4
CEBPG	MAP2K5	0.2821134618283306	1.205170051887805E-5
PPARA	SIK2	0.3145055388521513	0.0
ESRRA	ZWILCH	0.3370821258693769	0.0
FOXM1	PIP	0.2864352993740869	0.0
GTF2A2	KDM4A	0.3344296379564901	3.158407135828156E-7
GTF2A2	KDM3B	0.33749913918325924	0.0
NRF1	SYS1	0.3023125445248994	0.0
HSF2	ZFP112	0.39290816243194543	0.0
GTF2A2	KDM2B	0.28894074209914816	0.010898789878996062
HSF1	ATP6AP2	0.4571348526665625	0.0
CBFA2T2	INO80	0.28514266732981663	3.158407135828156E-7
MYB	LAIR1	0.35194000956480165	3.158407135828156E-7
HSF1	PMPCB	0.37284861499539707	0.0
PPARG	BASP1	0.35848472045911556	1.205170051887805E-5
STAT5B	THBD	0.6403785894103301	0.0021178727916457696
PPARG	FRMD6	0.3427923084020029	0.0
TFDP1	TMEM48	0.27324009223316065	0.0
YY1	JUND	0.32032808202239593	0.0
EGR3	TLE3	0.6758624811806315	0.0
PBX1	GLI3	0.452779847962632	0.0
SPI1	C20orf43	0.4529393328838607	0.0
EGR3	TLR1	0.5242927653186177	0.0021178727916457696
EGR3	TLR2	0.7259190742107816	0.0
EGR3	TLR4	0.7440891499628028	0.0
PPARA	TRA2A	0.31432949973886637	1.698068352595783E-10
FOXM1	OAF	0.3234161965322179	0.0
FOXA1	PPP1R11	0.30193350383380846	0.0
ZFP161	DKFZP586I1420	0.2780732986672897	3.940167240132908E-4
RORA	BCL2L11	0.3757059339377942	0.0
RORA	BCL2L12	0.4478261417526393	1.205170051887805E-5
CDC5L	MTG1	0.32851164201868527	0.010898789878996062
EGR3	TLN1	0.5457679056939225	1.698068352595783E-10
ATF1	RPL35	0.34555796071863626	1.205170051887805E-5
ATF6	NECAB3	0.5175984787748067	0.0021178727916457696
DBP	NUS1	0.3928319218131985	0.0
REPIN1	CTBP1	0.5587217956351516	0.0
GABPB2	SDCCAG8	0.30570020651532465	7.131887080902288E-9
GTF2A1	TTC17	0.34846609977171056	1.987589006713364E-6
SPI1	SLC19A1	0.7110965088605358	0.0
ELF1	GABPA	0.6253605552982974	0.0
ELF2	GUK1	0.40876821573768224	0.0
TCF3	CMPK1	0.27494610647891315	0.0021178727916457696
PPARG	MAP1LC3A	0.4112464962041925	0.0
GTF2A1	TTBK2	0.3916239434067526	0.0
STAT5A	LOC729082	0.375051819038354	4.8394948048979813E-8
STAT5B	TGFA	0.38066046598467934	0.0021178727916457696
ATF1	ATG5	0.3456526454066575	0.0
TFDP2	TMEM5	0.4074908216589953	1.987589006713364E-6
RFX1	SPRYD7	0.2937600991654124	0.0
FOXM1	NLK	0.2536600406685592	1.987589006713364E-6
CDC5L	MTRR	0.32357670829546753	7.030614284353476E-5
TEAD1	S100A6	0.2847603196053074	0.010898789878996062
STAT6	TCIRG1	0.3287950115960187	0.0
RXRB	C17orf65	0.35126751817741664	0.0
RB1	C7orf60	0.5018558683336899	3.940167240132908E-4
HMGA1	MUC21	0.2716360303966605	7.030614284353476E-5
PPARA	TRAK2	0.3879050364470448	0.0
ESR1	FBXL2	0.3123884831253495	0.010898789878996062
RXRB	C17orf37	0.29781072840804484	0.010898789878996062
TFDP2	TMED9	0.39226068885597215	7.131887080902288E-9
FOXM1	NTS	0.28195081156244706	7.030614284353476E-5
TCF4	TMEM120A	0.35969632132892104	1.0188410115574698E-9
STAT5B	TBC1D10C	0.5510435050197637	7.030614284353476E-5
SRF	MOCS2	0.32280803300344313	1.205170051887805E-5
MEIS1	RNF207	0.28479022943457705	7.030614284353476E-5
SMAD4	HCFC2	0.30306111258959334	3.940167240132908E-4
CDC5L	TXLNG	0.3094874181308879	4.8394948048979813E-8
STAT3	KRT6A	0.3714438522554088	7.030614284353476E-5
REPIN1	B3GNT1	0.38451942078234963	0.0
REPIN1	B3GNT9	0.40242807026629346	0.0
RFX1	NUDT16L1	0.469238213492722	3.158407135828156E-7
XBP1	ACSL3	0.2728879713593819	0.0
TP53	TIMMDC1	0.28156399146023225	4.8394948048979813E-8
IRF7	OS9	0.32505809415345677	0.010898789878996062
ATF2	AKAP8L	0.2853434022643269	7.030614284353476E-5
DBP	C11orf2	0.387622613871878	0.0
TCF4	DEF8	0.2815570027522059	7.131887080902288E-9
STAT3	KRT15	0.3246326327585515	0.010898789878996062
FOXQ1	LOC93622	0.2833688856606085	0.0
RREB1	PSMG2	0.26424983813755204	0.0
ATF2	AKAP10	0.3120747442233697	1.205170051887805E-5
NF1	RALGAPB	0.5588541005357869	0.0
NR2F2	WFDC2	0.2611849135811603	0.010898789878996062
RREB1	PSMB1	0.2747538447541008	7.030614284353476E-5
NR3C1	CDC5L	0.4525116551754312	7.131887080902288E-9
IRF7	OAT	0.32449581823793716	1.205170051887805E-5
RREB1	PSMD4	0.3012527948258894	1.205170051887805E-5
FOXQ1	IRX5	0.28742086134672307	0.0
PPARG	FREM2	0.32533832520934236	3.158407135828156E-7
STAT5B	EIF2AK1	0.39440825634563864	4.8394948048979813E-8
RUNX2	WDR54	0.4027379421714932	3.158407135828156E-7
FOXC1	PRSS8	0.3012224795846315	0.0
EGR3	RAB8B	0.5821745647829087	3.940167240132908E-4
RUNX2	WDR34	0.4415218403900744	0.0
AHR	SFXN1	0.3670100253656824	0.0
HSF1	ARPP19	0.5103725927987346	0.0021178727916457696
IRF7	PML	0.3676574657227373	0.0
NR1H3	PMVK	0.3072257306350608	0.0021178727916457696
MAFG	KHNYN	0.27062473370506285	0.0021178727916457696
SMAD4	TSPAN12	0.30085944497822514	4.8394948048979813E-8
DDIT3	CRAMP1L	0.3813029411641496	0.010898789878996062
HMGA1	C8orf47	0.44925405427551857	0.0
RELA	DIEXF	0.364594293358965	0.0
CEBPD	PTPLAD1	0.37688141066988073	4.8394948048979813E-8
MAZ	USP38	0.523060787126131	1.205170051887805E-5
HMGA1	C8orf83	0.34794349892814996	0.0
HMGA1	C8orf73	0.3132442580979061	0.010898789878996062
MAZ	USP25	0.5635512953675199	0.0
FOXM1	TK1	0.3985831736244842	0.0
MEF2A	CORO1B	0.449968818140116	0.0
NFE2L1	CYP2S1	0.26854188973067233	0.010898789878996062
RXRB	PRPF40A	0.44402397285764733	1.698068352595783E-10
FOXJ1	RUNDC1	0.3518776951582941	0.0
NFE2L1	CYP2R1	0.321186114186984	0.0
IRF7	MX2	0.454989281091905	0.0
ELF1	GOLPH3	0.42062098417484595	0.0021178727916457696
CBFA2T2	LOC643529	0.38396965768056984	0.0021178727916457696
SRF	TIGD7	0.2685870575344919	3.940167240132908E-4
PPARA	MEIS3P1	0.35600128786428126	7.131887080902288E-9
RORA	FZD3	0.4166512817206373	3.940167240132908E-4
NR3C1	RAB11B	0.47530497956928097	3.940167240132908E-4
STAT5B	TLR1	0.5272600423070879	0.0
STAT5B	TLR2	0.6861058099498445	0.0
STAT5B	TLR4	0.6786002481760091	0.0
NR2F2	SAP30L	0.35069586266947583	0.0
SP1	HMBS	0.33148166495194686	1.987589006713364E-6
SREBF1	STK11	0.3002104950037265	0.0021178727916457696
HSF1	ECI1	0.5621347609820713	1.987589006713364E-6
ATF2	FAM13B	0.40897977042182254	0.0
CEBPA	CTNNBIP1	0.3316329085369234	0.0
MTF1	FKBP1B	0.3166786820220649	0.0
TFDP1	TOMM20	0.3179537252145521	0.0
TFDP1	GIPC1	0.2975461249424644	1.205170051887805E-5
HSF1	TOMM40	0.4542879728286464	0.0021178727916457696
MYB	PROS1	0.46021871082736104	0.0
RUNX1	NOL12	0.2726776947678326	3.940167240132908E-4
MYB	PROM1	0.3805022359332512	1.987589006713364E-6
MYB	PROM2	0.37248790014013455	0.0
HLF	TMEM150C	0.5154053588770663	4.8394948048979813E-8
MTF1	SRP14	0.26575938547149514	0.0
MEIS1	RNF122	0.3132792206666701	4.8394948048979813E-8
MEIS1	RNF126	0.3141517580532883	3.940167240132908E-4
RB1	INO80E	0.4529354428980866	3.940167240132908E-4
SPI1	NINJ1	0.5549254352814377	0.0
GTF3A	STAT3	0.30164280093328294	1.0188410115574698E-9
SMAD4	LOC100506710	0.3453118339753044	0.0
NF1	CAMSAP1L1	0.46751136592222864	1.987589006713364E-6
SREBF1	POLR3F	0.28926630365605593	0.0
TP53	PDCD10	0.34211072082542854	1.0188410115574698E-9
TP53	PDCD11	0.2886222958470753	0.0
NF1	HEATR5A	0.4147743298333877	0.0
NF1	HEATR5B	0.3759616061720307	0.0
RFX1	PPP1R8	0.39281243998872256	0.0
IRF7	NMI	0.3882691020697177	3.158407135828156E-7
IRF7	NMU	0.29993885073806653	7.030614284353476E-5
IRF7	NNT	0.3923619973886082	0.0
CEBPD	HDHD2	0.29122218215287843	3.158407135828156E-7
RXRA	MRPL13	0.2926060979838568	1.987589006713364E-6
RXRA	MRPL47	0.29818304027265913	4.8394948048979813E-8
RXRA	MRPL38	0.3056136809928393	0.0
SREBF1	POLRMT	0.31560111547537556	7.131887080902288E-9
SPI1	SPRR1B	0.4760652256442512	0.0
RXRB	GTPBP8	0.34772995875499224	0.0
SPI1	GBP2	0.41862966413072433	0.0021178727916457696
HSF1	EBF4	0.3614812408939062	3.940167240132908E-4
RFX1	PPP1CC	0.427548371725205	3.158407135828156E-7
ETV4	C6orf97	0.4443072412617904	0.0
SPI1	SLC15A3	0.6300160691628393	0.0
SPI1	SLC15A4	0.5239547735301868	4.8394948048979813E-8
SPI1	SPRR2A	0.4844038056385613	1.698068352595783E-10
SPI1	SPRR2C	0.3783025837677303	0.0
SPI1	SPRR2D	0.44119442945269116	4.8394948048979813E-8
SPI1	SPRR2E	0.42222319956210985	0.0
SPI1	SPRR2F	0.4335196733230992	0.0
FOXJ1	RHPN1	0.5897293362494866	0.0
NF1	TUBGCP4	0.37862302435902856	7.030614284353476E-5
MYB	PRPS1	0.32512325024830463	0.0
SMAD4	BCLAF1	0.3416329120584369	7.030614284353476E-5
SMAD3	TOMM22	0.26529885116875723	0.0021178727916457696
CDC5L	MPST	0.4482497838303667	0.0
RXRB	NCKAP1	0.5236667072877906	0.0
ETS2	SLC41A3	0.3400725940887124	0.010898789878996062
CREB1	TRIM33	0.4818886612420437	7.030614284353476E-5
RXRA	MRPS31	0.28368734272320056	0.0021178727916457696
GATA3	C20orf12	0.27729532939206714	3.158407135828156E-7
SF1	ACTN1	0.34946291697779414	3.940167240132908E-4
SRF	RAB31	0.409108261309743	0.010898789878996062
NF1	BUD31	0.3185288698201469	0.0
GTF3A	ZNFX1	0.3018295011423182	0.0
STAT3	PDIA3	0.3170443860185353	7.131887080902288E-9
STAT5B	TSFM	0.2872890598156269	3.940167240132908E-4
SRF	TIMP1	0.43594178525414584	0.0
NR2F2	PLCE1	0.4019070761476593	0.0
MYB	PACRGL	0.47014820047862926	0.0
NR2F2	PLCB4	0.3505397815531996	0.0021178727916457696
SPI1	FZD4	0.4592927123905186	0.0
PCBP1	MPPE1	0.2956001904956149	1.698068352595783E-10
FOXM1	ZFX	0.2768832973720125	3.940167240132908E-4
FOXJ1	OSBPL2	0.34045892812669554	0.0021178727916457696
FOXJ1	OSBPL6	0.5190757252866205	0.0
IRF7	CDC14B	0.43505678510770524	0.0
STAT3	TUBB3	0.4060304006617406	0.0
MEF2A	NHLRC2	0.48303667792092453	1.205170051887805E-5
NR2F2	PLBD1	0.3772581489702416	0.0
REL	SASH1	0.37284993068676875	0.0
MEIS1	SEC61A1	0.32133851172948613	0.0
RREB1	SF3B14	0.2817746012162455	0.0
ZNF384	FN3K	0.29818818865105184	3.940167240132908E-4
STAT6	LPPR2	0.3024868504549856	0.0
RXRA	IDH3A	0.30510744893528186	0.0
ATF6	LSM14A	0.5204271858752723	1.205170051887805E-5
PRRX2	DDX18	0.317615551907116	7.131887080902288E-9
DBP	FBLN1	0.30663883244853685	0.0
FOXM1	ZAK	0.2816913376790736	0.010898789878996062
TEF	UBTD1	0.38600220553921955	1.698068352595783E-10
GTF3A	ZNF18	0.2749297380096143	1.0188410115574698E-9
NR2F2	PLAUR	0.46592370734991334	0.0
ATF6	ATP6AP2	0.4796530850740325	0.0
ATF1	RPAP3	0.3597754467088504	1.0188410115574698E-9
RORA	C9orf23	0.4621141451298668	0.0
NR1H3	DEPDC5	0.26964003589024715	0.010898789878996062
FOXQ1	HSDL2	0.32923438222123	0.0
RORA	C9orf69	0.451938457318425	0.0
REST	RB1CC1	0.5099150504918488	3.940167240132908E-4
ZNF238	THUMPD2	0.2979323969767779	0.0
PCBP1	RBM20	0.4415846185328223	0.0
PCBP1	RBM22	0.38494664753609875	0.0
ESR1	CHI3L1	0.302339006609997	3.158407135828156E-7
PCBP1	RBM43	0.5236982330987835	0.0
MEF2A	PNPLA6	0.33000868787130594	0.0
PPARG	TFPI2	0.2930993982150515	1.987589006713364E-6
MEF2A	PLOD1	0.338645151722669	0.0
EGR3	RAP1GAP2	0.5784905150863575	1.205170051887805E-5
ATF3	HIST1H2BD	0.2863911045293538	3.158407135828156E-7
HSF2	RIBC1	0.38607706015190807	1.698068352595783E-10
PAX3	PRSS3	0.3282912757934185	1.205170051887805E-5
MYB	PRKRA	0.3931259596291952	1.698068352595783E-10
RREB1	ANAPC5	0.31210426313233464	1.0188410115574698E-9
IRF8	VASH1	0.5301917277314214	0.0
ETV4	LDLRAD1	0.38528104462198376	0.0021178727916457696
CREB1	ZBTB22	0.34115397232025196	0.0
CREB1	ZBTB34	0.4502988373185833	0.0
SREBF1	HIP1R	0.2720329256161409	4.8394948048979813E-8
STAT5B	TPM3	0.5709716810617581	1.987589006713364E-6
SF1	MTHFD2	0.3014765441260472	1.0188410115574698E-9
NR1H3	MYSM1	0.2951127794859015	0.0
NR2F2	UGT2A1	0.43167394263517617	0.0
NR2F2	UGT2A2	0.4587103731468815	0.0
SRF	EFEMP1	0.37795129354336104	0.0021178727916457696
NFIL3	QPCT	0.5145189485322961	3.940167240132908E-4
ATF1	IMPA1	0.4389986502572712	1.0188410115574698E-9
MYB	LAS1L	0.3324351649410509	1.698068352595783E-10
IRF8	HMHA1	0.562556348237894	1.205170051887805E-5
SP1	PELP1	0.46721104449131595	3.158407135828156E-7
SRF	ANKIB1	0.3485540506163626	0.010898789878996062
CREB1	ALKBH4	0.39044893153846566	0.0021178727916457696
CREB1	ALKBH7	0.488925340157292	0.0
YY1	RAB2A	0.30883011370372193	0.0
YY1	RAB36	0.3123203475819356	4.8394948048979813E-8
YY1	RAB43	0.2691537225876553	1.0188410115574698E-9
HIF1A	DDX21	0.47316854251001184	0.0021178727916457696
MYB	ZMYND10	0.7098475742386684	0.0
SP1	HRH1	0.33521265497498076	1.987589006713364E-6
TBP	EPPK1	0.24304936113396006	0.010898789878996062
GABPA	XRN1	0.5306135379689267	0.0
CEBPA	RANBP3	0.32980142184502076	0.0
POU6F1	ASB13	0.3038789787229288	0.0
SPI1	SLC11A1	0.7198355207542532	0.0
MAZ	C6orf48	0.41218914320402666	0.0
RUNX2	MRPS28	0.3165247552297982	7.030614284353476E-5
MYB	SHANK2	0.6926943356782661	1.987589006713364E-6
POU6F1	ARHGEF16	0.2586837630026888	0.0021178727916457696
MTF1	XRN2	0.3004094732726897	4.8394948048979813E-8
NF1	PUM1	0.5452443021513348	0.0
NF1	PUM2	0.4084164110954931	0.0
POU6F1	UBA1	0.3322421450492988	3.940167240132908E-4
TFAP2C	ACVR2A	0.31756032893482905	1.205170051887805E-5
RUNX2	MRPS33	0.37855471554741044	0.0
MAFG	MPRIP	0.2679854086106443	7.131887080902288E-9
PBX1	SOCS3	0.5031815826748735	4.8394948048979813E-8
ATF1	BAG4	0.40225884817498364	0.0
ATF1	BAG6	0.41058207722520607	0.0021178727916457696
NFE2L1	MAPK8IP1	0.3468496173411436	0.0
TFDP1	KIAA1671	0.3152017245096569	0.010898789878996062
SPI1	PREX1	0.9253183982229122	0.0
POU2F1	FAM160B1	0.3778095252144928	0.0
DDIT3	ANAPC1	0.3813173349034887	0.0
SMAD1	KATNB1	0.37232046644294353	7.030614284353476E-5
AHR	TP53TG1	0.43242558827503175	0.0
MAFG	SH3PXD2B	0.294813247800257	0.010898789878996062
CDC5L	MIOS	0.3136346101373201	7.030614284353476E-5
RORA	PQBP1	0.3580021958412317	7.131887080902288E-9
RORA	EIF2C4	0.35157656222917133	3.158407135828156E-7
ATF2	FAM83B	0.3337995519664135	1.987589006713364E-6
RELA	FRMD8	0.35159414307140735	7.030614284353476E-5
NF1	VCPIP1	0.4764933247021156	3.158407135828156E-7
TFAP2A	MARK1	0.3096918222221643	1.0188410115574698E-9
PPARA	RTF1	0.4349262073703523	0.0
TCF3	EVI5L	0.3716032539975876	0.0
ELF2	RHBDD3	0.3708814032118083	1.987589006713364E-6
PPARA	SGK196	0.41382755763043827	0.0
NFE2L1	NDUFB4	0.32430968758021594	0.010898789878996062
RORA	FRS2	0.49655083212601153	1.987589006713364E-6
REPIN1	ATP2C2	0.34459406023712275	7.030614284353476E-5
ATF3	HIVEP2	0.30598992468373637	7.131887080902288E-9
GTF3A	PIN4	0.278853702971997	7.030614284353476E-5
TCF12	DCBLD1	0.31320653907815255	3.158407135828156E-7
HMGA1	DDRGK1	0.31856928154286823	3.158407135828156E-7
NFE2L1	NDUFC2	0.29727609011857026	0.0
RB1	MCTP1	0.3718524772030343	7.030614284353476E-5
PCBP1	DNAL1	0.4845414075387385	0.0
NF1	RALGAPA1	0.6716345507753751	0.0
NF1	RALGAPA2	0.2947309297658622	1.205170051887805E-5
GTF3A	PIGY	0.369429336584604	0.0
FOXC1	TP53INP2	0.28926160854960487	7.030614284353476E-5
ELF1	C1orf124	0.47928381504410955	3.940167240132908E-4
PPARA	LRRC16A	0.3074574342814309	0.0
NR3C1	C17orf90	0.3521457522571789	0.0021178727916457696
GTF3A	PEX7	0.2586604782007788	7.030614284353476E-5
TP53	ZNF702P	0.29098902653106057	0.0
DBP	NARS	0.3625458370542295	1.0188410115574698E-9
HMGA1	MRPL10	0.30939741141043975	3.158407135828156E-7
PPARA	RSF1	0.4121540537701689	0.010898789878996062
DBP	NAT6	0.35600697291144584	0.0
NF1	NAA25	0.37292971721346124	0.0
NF1	NAA10	0.46802912350912784	0.0
NRF1	PCDHAC1	0.26032356371713006	7.030614284353476E-5
NF1	NAA16	0.350509867841486	7.030614284353476E-5
ETS2	TOX4	0.3086457460022861	1.987589006713364E-6
LMO2	ENTPD3	0.3211566058424195	1.987589006713364E-6
SRF	RAD17	0.35635245046617664	0.0
FOXJ1	KNDC1	1.1497815780474667	0.0
MYC	KRT17	0.28334307860308633	0.010898789878996062
ELK1	EPM2AIP1	0.29879501974681844	1.987589006713364E-6
DDIT3	OVOL1	0.33901868039476823	0.010898789878996062
TFDP2	SEPHS1	0.40492955528769325	0.0
SREBF1	STRN4	0.30497539559151854	1.0188410115574698E-9
HMGA1	SEC22C	0.4213837464661827	0.0
MYC	KRT6A	0.28996074635772057	0.0021178727916457696
MYC	KRT6B	0.2762709171194783	0.0
CEBPG	DOCK6	0.2856663820907403	0.0
SMAD1	RNF38	0.39276551480580124	0.0
HLF	MACROD2	0.3380880218412907	3.940167240132908E-4
FOXQ1	SLC35E4	0.29368059939069857	7.030614284353476E-5
FOXJ1	TPRXL	0.40351695790905834	0.0
